period,destination_code,destination_iso,destination,export_value_usd,month,year
202301,524,NPL,Nepal,3001.0,2023-01-01,2023
202301,528,NLD,Netherlands,416358870.0,2023-01-01,2023
202301,531,CUW,Curaçao,14289.0,2023-01-01,2023
202301,540,NCL,New Caledonia,7444994.0,2023-01-01,2023
202301,554,NZL,New Zealand,1777901.0,2023-01-01,2023
202301,558,NIC,Nicaragua,532299.0,2023-01-01,2023
202301,566,NGA,Nigeria,8728748.0,2023-01-01,2023
202301,579,NOR,Norway,6823083.0,2023-01-01,2023
202301,586,PAK,Pakistan,4666185.0,2023-01-01,2023
202301,591,PAN,Panama,2679406.0,2023-01-01,2023
202301,598,PNG,Papua New Guinea,615306.0,2023-01-01,2023
202301,600,PRY,Paraguay,70187.0,2023-01-01,2023
202301,604,PER,Peru,3193523.0,2023-01-01,2023
202301,608,PHL,Philippines,9557211.0,2023-01-01,2023
202301,616,POL,Poland,68023915.0,2023-01-01,2023
202301,620,PRT,Portugal,7283890.0,2023-01-01,2023
202301,626,TLS,Timor-Leste,3230.0,2023-01-01,2023
202301,634,QAT,Qatar,293855.0,2023-01-01,2023
202301,642,ROU,Romania,5879061.0,2023-01-01,2023
202301,643,RUS,Russian Federation,32863188.0,2023-01-01,2023
202301,646,RWA,Rwanda,944152.0,2023-01-01,2023
202301,659,KNA,Saint Kitts and Nevis,27600.0,2023-01-01,2023
202301,674,SMR,San Marino,11650.0,2023-01-01,2023
202301,678,STP,Sao Tome and Principe,36250.0,2023-01-01,2023
202301,682,SAU,Saudi Arabia,56625059.0,2023-01-01,2023
202301,686,SEN,Senegal,52516.0,2023-01-01,2023
202301,688,SRB,Serbia,65580.0,2023-01-01,2023
202301,694,SLE,Sierra Leone,175270.0,2023-01-01,2023
202301,699,IND,India,225682975.0,2023-01-01,2023
202301,702,SGP,Singapore,7221236.0,2023-01-01,2023
202301,703,SVK,Slovakia,40812929.0,2023-01-01,2023
202301,704,VNM,Viet Nam,229166114.0,2023-01-01,2023
202301,705,SVN,Slovenia,30659260.0,2023-01-01,2023
202301,706,SOM,Somalia,242113.0,2023-01-01,2023
202301,710,ZAF,South Africa,86816951.0,2023-01-01,2023
202301,716,ZWE,Zimbabwe,2958337.0,2023-01-01,2023
202301,724,ESP,Spain,176673475.0,2023-01-01,2023
202301,728,SSD,South Sudan,512821.0,2023-01-01,2023
202301,729,SDN,Sudan,113155.0,2023-01-01,2023
202301,752,SWE,Sweden,12791410.0,2023-01-01,2023
202301,757,CHE,Switzerland,5070666.0,2023-01-01,2023
202301,760,SYR,Syria,118390.0,2023-01-01,2023
202301,762,TJK,Tajikistan,6598.0,2023-01-01,2023
202301,764,THA,Thailand,27056109.0,2023-01-01,2023
202301,768,TGO,Togo,2075811.0,2023-01-01,2023
202301,780,TTO,Trinidad and Tobago,2750.0,2023-01-01,2023
202301,784,ARE,United Arab Emirates,15049585.0,2023-01-01,2023
202301,788,TUN,Tunisia,28366.0,2023-01-01,2023
202301,792,TUR,Türkiye,30055060.0,2023-01-01,2023
202301,800,UGA,Uganda,22363.0,2023-01-01,2023
202301,804,UKR,Ukraine,14714960.0,2023-01-01,2023
202301,807,MKD,North Macedonia,24423.0,2023-01-01,2023
202301,818,EGY,Egypt,3491268.0,2023-01-01,2023
202301,826,GBR,United Kingdom,111936522.0,2023-01-01,2023
202301,834,TZA,United Rep. of Tanzania,1836199.0,2023-01-01,2023
202301,842,USA,USA,1348053642.0,2023-01-01,2023
202301,854,BFA,Burkina Faso,258310.0,2023-01-01,2023
202301,858,URY,Uruguay,335545.0,2023-01-01,2023
202301,860,UZB,Uzbekistan,7430.0,2023-01-01,2023
