destination_code,destination,2023,2024,growth_2024,export_share_2024,export_increment_2024
170,Colombia,38051394.0,37620656.0,-0.01131990065856725,0.0006154514938948733,-430738.0
372,Ireland,34510622.0,37425870.0,0.08447393385143864,0.0006122649111120051,2915248.0
688,Serbia,1755741.0,36997999.0,20.072583598605945,0.0006052651967491218,35242258.0
716,Zimbabwe,39283958.0,36872694.0,-0.06138037312838995,0.0006032152816853733,-2411264.0
400,Jordan,27584634.0,36751296.0,0.3323104450107983,0.0006012292828113545,9166662.0
894,Zambia,4340651.0,34999502.0,7.063191903702924,0.0005725709778021044,30658851.0
504,Morocco,40954385.0,33043099.0,-0.193173111987886,0.0005405653915887642,-7911286.0
604,Peru,47415780.0,30173767.0,-0.3636344904586617,0.0004936248314379693,-17242013.0
288,Ghana,10177947.0,28610094.0,1.8109886993909479,0.0004680440737868247,18432147.0
231,Ethiopia,24629091.0,27546946.0,0.11847189163416538,0.0004506516066051959,2917855.0
180,Dem. Rep. of the Congo,19757549.0,26547467.0,0.3436619592845247,0.00043430072628916546,6789918.0
364,Iran,11643231.0,25529245.0,1.1926254834246612,0.0004176432216721108,13886014.0
214,Dominican Rep.,19703807.0,23300139.0,0.18251965216671073,0.0003811763770283059,3596332.0
686,Senegal,6836032.0,22876993.0,2.346530999269752,0.00037425396084726857,16040961.0
834,United Rep. of Tanzania,16755295.0,22244334.0,0.3276002600968828,0.00036390403694705703,5489039.0
116,Cambodia,10239262.0,21986196.0,1.1472442056859178,0.0003596810532295207,11746934.0
508,Mozambique,17128247.0,20212467.0,0.18006629633493731,0.00033066390470306596,3084220.0
120,Cameroon,17619937.0,19994362.0,0.13475785980392563,0.00032709583698845886,2374425.0
384,Côte d'Ivoire,7999553.0,19963323.0,1.495554814125239,0.00032658805746119585,11963770.0
398,Kazakhstan,16186332.0,17947541.0,0.10880840699424676,0.0002936110662235525,1761209.0
450,Madagascar,7263267.0,17930727.0,1.4686861986486246,0.00029333599921200576,10667460.0
233,Estonia,6860413.0,16160329.0,1.3555912741696456,0.00026437334385882703,9299916.0
388,Jamaica,10571334.0,15436726.0,0.460243901100845,0.0002525356303607739,4865392.0
887,Yemen,2243697.0,15205817.0,5.777125877513764,0.00024875809684291684,12962120.0
440,Lithuania,15578708.0,15132558.0,-0.028638446782621507,0.0002475596232971274,-446150.0
191,Croatia,12142478.0,14542584.0,0.1976619599393139,0.0002379080005381002,2400106.0
112,Belarus,11088186.0,14252727.0,0.28539753932699186,0.00023316611289887648,3164541.0
854,Burkina Faso,6363158.0,14114746.0,1.2181982594177292,0.00023090882603553448,7751588.0
800,Uganda,5575576.0,13913583.0,1.4954521290715075,0.00022761791933613047,8338007.0
148,Chad,6346395.0,13587494.0,1.14097830343053,0.00022228329778692927,7241099.0
12,Algeria,18573541.0,11727414.0,-0.36859568135122966,0.00019185349840320837,-6846127.0
858,Uruguay,7519048.0,11165271.0,0.484931470047804,0.00018265717420480666,3646223.0
862,Venezuela,1553354.0,10764779.0,5.930023034028302,0.00017610536395213736,9211425.0
144,Sri Lanka,5650523.0,10341816.0,0.8302404927827034,0.00016918594154195245,4691293.0
324,Guinea,5538572.0,9119939.0,0.6466228118005868,0.00014919676259180905,3581367.0
512,Oman,4824112.0,8889822.0,0.8427893050575941,0.00014543218572157568,4065710.0
434,Libya,9526556.0,8492317.0,-0.10856378737499683,0.00013892924100735587,-1034239.0
694,Sierra Leone,1574410.0,8251574.0,4.241057920109755,0.00013499082911483775,6677164.0
218,Ecuador,3464243.0,8008229.0,1.3116822347623995,0.00013100985005424273,4543986.0
258,French Polynesia,1558985.0,7492319.0,3.8058955025224748,0.000122569870160875,5933334.0
340,Honduras,3984552.0,7072441.0,0.7749651654690415,0.000115700916510689,3087889.0
768,Togo,11400000.0,7070950.0,-0.3797412280701754,0.00011567652463997316,-4329050.0
531,Curaçao,712768.0,6846330.0,8.605271280416629,0.00011200187541113817,6133562.0
462,Maldives,2772701.0,5964736.0,1.1512366461439587,9.757952338440166e-05,3192035.0
332,Haiti,4568347.0,5829475.0,0.27605783886381663,9.536673409875724e-05,1261128.0
204,Benin,13543525.0,5816084.0,-0.5705634980553438,9.514766532561447e-05,-7727441.0
516,Namibia,4501083.0,5458389.0,0.21268348084227728,8.929598846732879e-05,957306.0
728,South Sudan,1665380.0,5081968.0,2.051536586244581,8.313796541787951e-05,3416588.0
262,Djibouti,9111607.0,5080608.0,-0.4424026409391889,8.311571662903071e-05,-4030999.0
320,Guatemala,5584964.0,5051684.0,-0.09548494851533507,8.264253724030832e-05,-533280.0
478,Mauritania,7582099.0,4872430.0,-0.35737715901625655,7.97100487136162e-05,-2709669.0
414,Kuwait,3683852.0,4862212.0,0.3198716995145299,7.954288832798609e-05,1178360.0
524,Nepal,4052039.0,4795398.0,0.1834530714042979,7.844985113817493e-05,743359.0
188,Costa Rica,3736038.0,4781019.0,0.27970299017301214,7.821461927430966e-05,1044981.0
140,Central African Rep.,6129037.0,4691155.0,-0.234601618492432,7.674449783231862e-05,-1437882.0
600,Paraguay,5335309.0,4618752.0,-0.13430468600787693,7.556002793598107e-05,-716557.0
192,Cuba,1743882.0,4590369.0,1.6322704173791576,7.50956989845875e-05,2846487.0
480,Mauritius,3869817.0,4488348.0,0.15983468985742744,7.342669627345325e-05,618531.0
90,Solomon Isds,2089488.0,4394370.0,1.1030845834003355,7.188927224519461e-05,2304882.0
417,Kyrgyzstan,3162064.0,4311378.0,0.36346955659341496,7.053157262450423e-05,1149314.0
328,Guyana,1356650.0,3996333.0,1.945736188405263,6.537762432827808e-05,2639683.0
