typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20240301,2024,3,202403,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,288226432.0,False,5,u,288226432.0,False,189974728.164,True,0.0,False,,4472355410.0,4472355410.0,4,False,True
C,M,20240401,2024,4,202404,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,286786244.0,False,5,u,286786244.0,False,192982617.747,True,0.0,False,,4301534133.0,4301534133.0,4,False,True
C,M,20240501,2024,5,202405,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,320474350.0,False,5,u,320474350.0,False,219058304.465,True,0.0,False,,4636738684.0,4636738684.0,4,False,True
C,M,20240601,2024,6,202406,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,344111343.0,False,5,u,344111343.0,False,249952832.767,True,0.0,False,,5114441644.0,5114441644.0,4,False,True
C,M,20240701,2024,7,202407,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,327733627.0,False,5,u,327733627.0,False,281209572.391,True,0.0,False,,5351699905.0,5351699905.0,4,False,True
C,M,20240801,2024,8,202408,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,368599149.0,False,5,u,368599149.0,False,302582883.792,True,0.0,False,,5791441589.0,5791441589.0,4,False,True
C,M,20240901,2024,9,202409,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,322272487.0,False,5,u,322272487.0,False,278728204.343,True,0.0,False,,5299102508.0,5299102508.0,4,False,True
C,M,20241001,2024,10,202410,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,345651578.0,False,5,u,345651578.0,False,303388652.949,True,0.0,False,,5590186317.0,5590186317.0,4,False,True
C,M,20241101,2024,11,202411,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,364410810.0,False,5,u,364410810.0,False,321999242.224,True,0.0,False,,5795792309.0,5795792309.0,4,False,True
C,M,20241201,2024,12,202412,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,351165155.0,False,5,u,351165155.0,False,346023783.283,True,0.0,False,,6048566275.0,6048566275.0,4,False,True
