typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,70,BIH,Bosnia Herzegovina,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,9266.0,False,5,u,9266.0,False,8703.0,False,0.0,False,,228767.0,228767.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,72,BWA,Botswana,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,10.0,False,5,u,10.0,False,837.0,False,0.0,False,,16310.0,16310.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,76,BRA,Brazil,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4218900.0,False,5,u,4218900.0,False,874473.0,False,0.0,False,,34607272.0,34607272.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,84,BLZ,Belize,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,144.0,False,5,u,144.0,False,5663.0,False,0.0,False,,93203.0,93203.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,96,BRN,Brunei Darussalam,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,112.0,False,5,u,112.0,False,705.0,False,0.0,False,,23268.0,23268.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,100,BGR,Bulgaria,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6246.0,False,5,u,6246.0,False,37379.0,False,0.0,False,,918489.0,918489.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,104,MMR,Myanmar,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,17774.0,False,5,u,17774.0,False,155688.0,False,0.0,False,,2444294.0,2444294.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,112,BLR,Belarus,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,67498.0,False,5,u,67498.0,False,67286.0,False,0.0,False,,2020957.0,2020957.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,116,KHM,Cambodia,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1376.0,False,5,u,1376.0,False,2183.0,False,0.0,False,,55821.0,55821.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,120,CMR,Cameroon,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,8853.0,False,5,u,8853.0,False,4078.0,False,0.0,False,,86758.0,86758.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,124,CAN,Canada,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,725480.0,False,5,u,725480.0,False,774255.0,False,0.0,False,,17768557.0,17768557.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,132,CPV,Cabo Verde,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,5.0,False,5,u,5.0,False,246.0,False,0.0,False,,5779.0,5779.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,144,LKA,Sri Lanka,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,5949.0,False,5,u,5949.0,False,15874.0,False,0.0,False,,349144.0,349144.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,148,TCD,Chad,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,8.0,False,5,u,8.0,False,340.0,False,0.0,False,,9066.0,9066.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,152,CHL,Chile,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,88171.0,False,5,u,88171.0,False,570352.0,False,0.0,False,,8303520.0,8303520.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,170,COL,Colombia,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,24972.0,False,5,u,24972.0,False,220736.0,False,0.0,False,,4076684.0,4076684.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,178,COG,Congo,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,5.0,False,5,u,5.0,False,9.0,False,0.0,False,,1028.0,1028.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,180,COD,Dem. Rep. of the Congo,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,585848.0,False,5,u,585848.0,False,128020.0,False,0.0,False,,2604967.0,2604967.0,0,True,False
