opportunity_rank,destination_code,destination,export_2024,monthly_cv_2024,active_month_ratio_2024,h2_h1_momentum_2024,growth_2024,export_2023,H1,H2,log_export_2024,growth_log_ratio,momentum_log_ratio,growth_symmetric_2024,momentum_symmetric_2024,cluster,segment,scale_score,growth_score,momentum_score,activity_score,stability_score,market_scale,growth_momentum,growth_quality,size_score,opportunity_score,market_segment,decision_tier
11,368,Iraq,41527908.0,0.6914839397889443,1.0,1.379566306476106,1.856066985950648,14540243.0,12287940.0,29239968.0,17.54187626519418,1.0494454539723534,0.8669181997280013,0.9626736219640987,0.8164161796929429,0,加速扩张机会市场,71.06598984771574,84.6938775510204,77.83505154639175,64.54081632653062,61.734693877551024,71.06598984771574,80.96446700507614,63.07106598984771,70.91836734693877,73.7302756154008,高增长机会市场,重点候选
12,566,Nigeria,292523323.0,0.43204569935461495,1.0,0.4492929237413876,0.7788323916225901,164446816.0,119431743.0,173091580.0,19.49405496162805,0.5759571866432083,0.37107579610328045,0.5605465043307786,0.3668756149060976,1,成熟核心市场,83.75634517766497,71.42857142857143,60.30927835051546,64.54081632653062,79.59183673469389,83.75634517766497,65.73604060913706,71.95431472081218,83.6734693877551,73.41389648642962,成熟核心市场,重点候选
13,428,Latvia,46507639.0,2.214249417705801,1.0,8.741143995682076,35.07530899438559,1289182.0,4329859.0,42177780.0,17.65512715813691,3.5856079157726626,2.2763583568675756,1.892111485824549,1.6276001884335602,0,加速扩张机会市场,73.09644670050761,97.44897959183673,93.29896907216495,64.54081632653062,12.755102040816325,73.09644670050761,94.9238578680203,38.70558375634518,72.95918367346938,73.2771407532085,高增长机会市场,重点候选
14,887,Yemen,15205817.0,0.6785516451924102,1.0,1.8540504768576767,5.777125877513764,2243697.0,3945412.0,11260405.0,16.53718867573927,1.9135527202765648,1.0487390406012462,1.4856711768591377,0.9621308739938144,0,加速扩张机会市场,57.868020304568525,93.36734693877551,82.9896907216495,64.54081632653062,62.755102040816325,57.868020304568525,87.81725888324874,63.57868020304568,57.6530612244898,73.10304018514623,高增长机会市场,重点候选
15,686,Senegal,22876993.0,0.8306617566276111,1.0,1.9529674998479427,2.346530999269752,6836032.0,5787296.0,17089697.0,16.945642334725736,1.2079241841353348,1.082810482615404,1.0797258777926515,0.9881019765141337,0,加速扩张机会市场,62.944162436548226,87.75510204081633,83.50515463917526,64.54081632653062,58.6734693877551,62.944162436548226,85.27918781725887,61.54822335025381,62.755102040816325,72.72143909110035,高增长机会市场,重点候选
16,764,Thailand,511094884.0,0.2214517029562351,1.0,0.0820172698197186,0.518783376664856,336515985.0,245480617.0,265614267.0,20.05206581586217,0.417909603255044,0.07882714100450627,0.41193171391482003,0.07878634918990893,1,成熟核心市场,89.34010152284264,67.3469387755102,38.144329896907216,64.54081632653062,94.38775510204081,89.34010152284264,52.79187817258883,79.31472081218274,89.28571428571429,71.86355985693247,成熟核心市场,重点候选
17,152,Chile,440992697.0,0.8446976424266589,1.0,1.2800106363357995,0.3015060767159283,338832607.0,134448557.0,306544140.0,19.904538875450907,0.26352211376743284,0.8241801038394136,0.26200763036537733,0.7804917594814501,1,成熟核心市场,87.81725888324873,60.204081632653065,75.77319587628865,64.54081632653062,57.6530612244898,87.81725888324873,67.76649746192894,61.04060913705584,87.75510204081633,71.63423101199241,成熟核心市场,重点候选
18,466,Mali,57905196.0,0.5396834639952477,1.0,0.1365798462885348,3.825140274823327,12000728.0,27101817.0,30803379.0,17.874317696718997,1.5738397408119305,0.12802361371183224,1.3133212572943032,0.12784904484219345,1,成熟核心市场,75.1269035532995,90.81632653061224,44.329896907216494,64.54081632653062,73.9795918367347,75.1269035532995,67.51269035532995,69.16243654822335,75.0,71.62108142225962,成熟核心市场,重点候选
19,246,Finland,708122878.0,0.3133564895990409,1.0,0.09721762470100768,0.3633855188525972,519385653.0,337648735.0,370474143.0,20.378128194508168,0.30997095802784713,0.09277754303385777,0.3075126897020319,0.09271105063773974,1,成熟核心市场,92.89340101522842,63.775510204081634,40.20618556701031,64.54081632653062,88.77551020408163,92.89340101522842,52.03045685279188,76.5228426395939,92.85714285714286,71.61266568483063,成熟核心市场,重点候选
20,894,Zambia,34999502.0,1.1540676734103674,0.9166666666666666,7.305947755134165,7.063191903702924,4340651.0,3760982.0,31238520.0,17.370844419352867,2.0873092941449922,2.116971621297422,1.558654385507855,1.5701673698100047,0,加速扩张机会市场,67.00507614213198,94.38775510204081,91.75257731958763,25.765306122448976,40.816326530612244,67.00507614213198,92.63959390862945,33.3756345177665,66.83673469387756,70.69745423942773,高增长机会市场,重点候选
21,208,Denmark,71759558.0,0.6507447890904927,1.0,0.4295664483745098,0.9032095800988826,37704496.0,29535952.0,42223606.0,18.088831630210983,0.643541701086864,0.3573712051740756,0.6222145216730234,0.3536157232183621,1,成熟核心市场,77.66497461928934,73.46938775510205,58.24742268041238,64.54081632653062,65.81632653061224,77.66497461928934,65.73604060913705,65.10152284263958,77.55102040816327,69.60866820955187,成熟核心市场,重点候选
22,704,Viet Nam,3709583575.0,0.1929629257785016,1.0,0.07224482600879517,0.1295088162738582,3284244905.0,1790128043.0,1919455532.0,22.034185463600195,0.12178286232655822,0.0697544190065571,0.12163257112076045,0.06972614924843687,1,成熟核心市场,98.47715736040608,46.93877551020408,36.08247422680412,64.54081632653062,95.91836734693878,98.47715736040608,41.6243654822335,80.0761421319797,98.46938775510205,69.33384178413634,成熟核心市场,重点候选
23,233,Estonia,16160329.0,0.6222764536323399,1.0,1.23725641693892,1.3555912741696456,6860413.0,4991983.0,11168346.0,16.598070031640802,0.8567916839054863,0.8052501905204448,0.8079597086835864,0.7643857993237637,0,加速扩张机会市场,58.88324873096447,79.59183673469387,75.25773195876289,64.54081632653062,68.36734693877551,58.88324873096447,77.15736040609137,66.37055837563452,58.673469387755105,69.26073006522196,高增长机会市场,重点候选
